meta_title,meta_description,title,challenge,solutions,result
"Walton County, FL Partners with CivicPlus for Redesigned Civic Website",,"Walton County, FL Partners with CivicPlus for Redesigned Government Website","County: Walton County, FL","Population: 63,508",Product: CivicEngage
"Washington County, Florida",,"Washington County, FL, Expands Online Services with CivicPlus®",Challenge: Provide easier access to the County's code of ordinances for residents and staff,Solution: Online Code Hosting,Result: Greater digital access and resident self-service
"Weatherford, TX Implements CivicRec Time-Saving Parks and Rec Software",,"Weatherford, TX Implements CivicRec Time-Saving Parks and Rec Software","City: Weatherford, TX","Population: 29,969",Product: CivicRec
"Wellington, FL Relies on CivicPlus® for Hurricane Readiness Communications",,"Wellington, FL Relies on CivicPlus® for Hurricane Readiness Communications","Village: Wellington, FL","Population: 65,000",Product: CivicPlus Mass Notification System
"West Valley City, UT Maintains Citizen Communication with CivicEngage",,"West Valley City, UT Maintains Citizen Communication with CivicEngage","City: West Valley City, UT","Population: 136,574",Product: CivicEngage
"Carrizo Springs, Texas",,"Carrizo Springs, Texas, Partners with CivicPlus® for an Integrated Website and Agenda and Meeting Management ",Challenge: Time-saving web and agenda and meeting management integration,Solution: A single partner with an integrated platform,"Result: Increased functionality, engagement, and features dedicated to transparency"
"Forest Hills, Tennessee",,"Forest Hills, Tennessee, Partners with CivicPlus® for Integrated Website and Online Code Hosting",Challenge: Easy resident access to code of ordinances,Solution: An integrated Municipal Website and Online Code Hosting from CivicPlus,Result: Improved resident satisfaction
"Key West, FL: Integrated Communications with CivicPlus®",,"Key West, Florida Leverages CivicPlus® Civic Experience Platform for Integrated Communications Management",Challenge: Replace outdated technology with integrated functionality designed for local governments.,"Solution: Implemented CivicPlus's website, 311 and citizen relationship management, and emergency mass notification solutions.",Result: The City successfully leveraged all three integrated tools to help manage communications during Hurricane Elsa.
"Laurel, Montana",,"Laurel, Montana, Enhances Meeting Preparation and Productivity with CivicPlus®",Challenge: Meeting preparation and content distribution was inefficient,Solution: Implement a Municipal Website and Agenda and Meeting Management software from CivicPlus,"Result: Increased functionality, engagement, and ease-of-use for staff and residents"
Lebanon NH Enhances Civic Experiences with CivicPlus Solution,,"Lebanon, NH Creates Positive Civic Experiences with Integrated CivicPlus® Solution Suite",Challenge: Consolidate technology to a single integration platform.,"Solution: Implement a website, mass communication solution, agenda and meeting management software, and parks and recreation management software all from CivicPlus.",Result: A single platform for staff and residents to log in and interact with administrative departments.
"Lindsay, California",,"Lindsay, California, Implements Integrated Legislative Management Solution with CivicPlus®",Challenge: The current City website was outdated,"Solution: Implement an integrated Municipal Website, Agenda and Meeting Management, and Municode Codification solution",Result: One-stop and frictionless staff and resident functionality
"Manistee, Michigan Redesigns City Website with its Partner, CivicPlus",,"Manistee, Michigan Redesigns City Website with its Partner, CivicPlus","City: Manistee, MI","Population: 6,014",Product: CivicEngage
"Marriott-Slaterville, Utah",,"Marriott-Slaterville, Utah, Achieves Digital Transformation with CivicPlus®","Challenge: Municipal code, policies, and other public information were not accessible to residents on-demand",Solution: Implement Policies and Procedures Software and a new Municipal Website,Result: Greater accessibility and transparency for residents and staff
Sandy City UT Wins Innovation Award,,"Sandy City, UT Communications Team Wins Best of State Award ","What is the Utah Best in State Award Competition?  The Best of State Awards were created to recognize outstanding individuals, organizations, and businesses.","What Makes for a Winning Nomination? The Best of State Judges look for organizations that:
- Excel in their endeavors
- Use innovative approaches or methods
- Contribute to a better quality of life in the state",Sandy City's Key to Success: Sandy City Communications leads with the mindset of “thinking like a citizen.”
Spartanburg Co Parks Dept Benefits from Integrated CivicPlus Solutions,,Spartanburg County Parks Benefits from Integrated CivicPlus Solutions,"County: Spartanburg County, SC","Population: 297,302","Products: CivicEngage, CivicRec"
"Stevenson, Washington",,"Stevenson, WA Leverages an Integrated CivicPlus Software Stack for Legislative Management",Challenge: Ensuring its digital offerings evolve to meet changing resident expectations,Solution: An integrated software stack from CivicPlus,Result: A continual evolution in its digital optimization strategy and continued resident satisfaction
Tavares FL Excels Creates Frictionless Civic Experiences,,"Tavares, FL, Excels as Technology Early Adapter; Creates Frictionless Civic Experiences",Challenge: Responding to new resident expectations for personal digital experiences with their local government,"Solution: A rapid and innovative adoption of smart technology, including CivicPlus® Municipal Websites, SeeClickFix 311 CRM, and CivicPlus® Agenda and Meeting Management software",Result: Improved digital user experience
CivicPlus Helps Manitou Springs Embrace Digital Optimization,,The City of Manitou Springs Embraces Digital Optimization with Help from CivicPlus®,"City: Manitou Springs, CO","Population: 5,346",Products: CivicPlus Process Automation and Digital Services and Municipal Website
"Tualatin, Oregon",,"Tulatin, OR Relies on CivicPlus® for Integrated, Modern Technology",Challenge: The need for greater transparency,"Solution: An integrated Municipal Website, Agenda and Meeting Management, and Municode Codification system","Result: Increased functionality, engagement, and features dedicated to transparency"
Local Government Website Design Case Studies,
